Fälle;Prognose;Dunkelziffer;Einwohner;Landkreis;Bundesland
18;3927.0;3909.0;120071;LK Landsberg a.Lech;Bayern
83;4762.0;4679.0;136092;LK Starnberg;Bayern
584;141571.0;140987.0;1471508;SK München;Bayern
46;11152.0;11106.0;219320;LK Fürstenfeldbruck;Bayern
44;7444.0;7400.0;177089;LK Traunstein;Bayern
6;4986.0;4980.0;77607;SK Delmenhorst;Niedersachsen
220;34090.0;33870.0;348871;LK München;Bayern
212;14655.0;14443.0;179116;LK Freising;Bayern
110;1118.0;1008.0;257253;LK Göppingen;Baden-Württemberg
114;1112.0;998.0;227331;LK Tübingen;Baden-Württemberg
808;2489.0;1681.0;254322;LK Heinsberg;Nordrhein-Westfalen
322;877.0;555.0;533859;LK Esslingen;Baden-Württemberg
149;863.0;714.0;230241;SK Freiburg i.Breisgau;Baden-Württemberg
133;868.0;735.0;262795;LK Breisgau-Hochschwarzwald;Baden-Württemberg
10;850.0;840.0;139455;LK Rottweil;Baden-Württemberg
39;673.0;634.0;298935;LK Viersen;Nordrhein-Westfalen
67;675.0;608.0;391640;LK Böblingen;Baden-Württemberg
176;678.0;502.0;543984;LK Ludwigsburg;Baden-Württemberg
17;656.0;639.0;111962;SK Erlangen;Bayern
29;519.0;490.0;276032;LK Segeberg;Schleswig-Holstein
66;523.0;457.0;459809;LK Wesel;Nordrhein-Westfalen
73;521.0;448.0;327258;SK Bonn;Nordrhein-Westfalen
178;523.0;345.0;555465;StadtRegion Aachen;Nordrhein-Westfalen
31;522.0;491.0;412120;LK Märkischer Kreis;Nordrhein-Westfalen
56;519.0;463.0;268876;LK Gießen;Hessen
14;508.0;494.0;99845;SK Kaiserslautern;Rheinland-Pfalz
139;521.0;382.0;343068;LK Heilbronn;Baden-Württemberg
232;523.0;291.0;547625;LK Rhein-Neckar-Kreis;Baden-Württemberg
22;512.0;490.0;127748;SK Fürth;Bayern
21;401.0;380.0;217198;SK Lübeck;Schleswig-Holstein
872;407.0;-465.0;1841179;SK Hamburg;Hamburg
227;808.0;581.0;1085664;SK Köln;Nordrhein-Westfalen
5;397.0;392.0;140316;LK Ostallgäu;Bayern
233;313.0;80.0;1157624;Region Hannover;Niedersachsen
150;312.0;162.0;569352;SK Bremen;Bremen
55;312.0;257.0;498590;SK Duisburg;Nordrhein-Westfalen
41;311.0;270.0;263722;LK Düren;Nordrhein-Westfalen
124;311.0;187.0;314319;SK Münster;Nordrhein-Westfalen
56;310.0;254.0;274526;LK Groß-Gerau;Hessen
47;614.0;567.0;253777;LK Lahn-Dill-Kreis;Hessen
8;297.0;289.0;40792;SK Schwabach;Bayern
32;310.0;278.0;211249;LK Oberhavel;Brandenburg
21;239.0;218.0;197264;LK Herzogtum Lauenburg;Schleswig-Holstein
23;239.0;216.0;198213;LK Cuxhaven;Niedersachsen
58;240.0;182.0;583109;SK Essen;Nordrhein-Westfalen
38;240.0;202.0;451007;LK Rhein-Kreis Neuss;Nordrhein-Westfalen
48;239.0;191.0;283455;LK Rheinisch-Bergischer Kreis;Nordrhein-Westfalen
131;240.0;109.0;370676;LK Borken;Nordrhein-Westfalen
148;719.0;571.0;753056;SK Frankfurt am Main;Hessen
51;239.0;188.0;236564;LK Hochtaunuskreis;Hessen
81;711.0;630.0;309370;SK Mannheim;Baden-Württemberg
70;238.0;168.0;188935;LK Zollernalbkreis;Baden-Württemberg
51;238.0;187.0;142142;LK Ebersberg;Bayern
67;479.0;412.0;518365;SK Nürnberg;Bayern
41;240.0;199.0;245611;LK Sächsische Schweiz-Osterzgebirge;Sachsen
77;185.0;108.0;314391;LK Pinneberg;Schleswig-Holstein
24;365.0;341.0;163455;LK Rotenburg (Wümme);Niedersachsen
20;184.0;164.0;124071;LK Ammerland;Niedersachsen
50;185.0;135.0;272471;LK Oberbergischer Kreis;Nordrhein-Westfalen
34;185.0;151.0;364628;SK Bochum;Nordrhein-Westfalen
38;185.0;147.0;269694;LK Bergstraße;Hessen
50;185.0;135.0;418950;LK Main-Kinzig-Kreis;Hessen
118;185.0;67.0;426158;LK Rems-Murr-Kreis;Baden-Württemberg
90;185.0;95.0;314002;LK Ostalbkreis;Baden-Württemberg
92;185.0;93.0;444232;LK Karlsruhe;Baden-Württemberg
57;185.0;128.0;228639;LK Lörrach;Baden-Württemberg
35;364.0;329.0;126329;SK Ulm;Baden-Württemberg
193;185.0;-8.0;260983;LK Rosenheim;Bayern
25;184.0;159.0;192043;LK Passau;Bayern
134;373.0;239.0;3644826;SK Berlin Mitte;Berlin
115;187.0;72.0;3644826;SK Berlin Mitte;Berlin
89;187.0;98.0;3644826;SK Berlin Mitte;Berlin
37;187.0;150.0;3644826;SK Berlin Mitte;Berlin
25;367.0;342.0;236697;LK Vorpommern-Greifswald;Mecklenburg-Vorpommern
7;183.0;176.0;80868;LK Saale-Orla-Kreis;Thüringen
29;142.0;113.0;136511;LK Grafschaft Bentheim;Niedersachsen
11;142.0;131.0;169809;LK Leer;Niedersachsen
155;285.0;130.0;619294;SK Düsseldorf;Nordrhein-Westfalen
30;143.0;113.0;599780;LK Rhein-Sieg-Kreis;Nordrhein-Westfalen
70;1503.0;1433.0;219929;LK Coesfeld;Nordrhein-Westfalen
103;143.0;40.0;348391;LK Lippe;Nordrhein-Westfalen
49;142.0;93.0;114024;SK Koblenz;Rheinland-Pfalz
63;143.0;80.0;217118;SK Mainz;Rheinland-Pfalz
73;142.0;69.0;132660;LK Bad Dürkheim;Rheinland-Pfalz
25;142.0;117.0;129075;LK Germersheim;Rheinland-Pfalz
308;143.0;-165.0;634830;SK Stuttgart;Baden-Württemberg
36;142.0;106.0;132321;LK Main-Tauber-Kreis;Baden-Württemberg
4;282.0;278.0;160355;SK Heidelberg;Baden-Württemberg
109;142.0;33.0;165383;LK Emmendingen;Baden-Württemberg
39;423.0;384.0;196047;LK Alb-Donau-Kreis;Baden-Württemberg
71;143.0;72.0;216227;LK Bodenseekreis;Baden-Württemberg
82;142.0;60.0;130873;LK Sigmaringen;Baden-Württemberg
41;142.0;101.0;127882;LK Cham;Bayern
13;142.0;129.0;126958;LK Roth;Bayern
18;142.0;124.0;133596;LK Aichach-Friedberg;Bayern
117;287.0;170.0;3644826;SK Berlin Mitte;Berlin
101;144.0;43.0;3644826;SK Berlin Mitte;Berlin
23;143.0;120.0;259130;LK Mecklenburgische Seenplatte;Mecklenburg-Vorpommern
13;143.0;130.0;224684;LK Vorpommern-Rügen;Mecklenburg-Vorpommern
12;109.0;97.0;133210;LK Dithmarschen;Schleswig-Holstein
25;110.0;85.0;248292;SK Braunschweig;Niedersachsen
28;326.0;298.0;178936;LK Celle;Niedersachsen
44;110.0;66.0;203102;LK Stade;Niedersachsen
13;110.0;97.0;192840;LK Euskirchen;Nordrhein-Westfalen
13;219.0;206.0;260654;SK Gelsenkirchen;Nordrhein-Westfalen
64;220.0;156.0;587010;SK Dortmund;Nordrhein-Westfalen
15;110.0;95.0;394782;LK Unna;Nordrhein-Westfalen
17;109.0;92.0;105878;LK Vogelsbergkreis;Hessen
29;110.0;81.0;156953;LK Waldeck-Frankenberg;Hessen
18;109.0;91.0;125960;SK Heilbronn;Baden-Württemberg
